CodEqu,Descri,CosDia
ASF025,TANQUE PARA EMULSION ASFALTICA (10.000 L,2.7527800000000004
ASF026,CADA MM DESGASTE BROCA DIAMANTE CORE DRI,9.88
ASF027,COMPACTADORA CAUCHOS/NEUMATICOS TAMPO,385.41
ASF028,MEDIDOR MANUAL PARA ESPESOR DE ASFALTO,0.5506000000000001
ASF204,PALIN/CHICURA RASPADOR TRUPER O SIM,0.4562099999999999
ASF205,PALIN MINERO,0.24777
BOM001,"BOMBA DE ACHIQUE MOTOR 5HP 2"" X 2""",44.03
BOM002,"BOMBA DE ACHIQUE 2"" CON MOTOR DE GASOLIN",110.11
BOM003,"MOTOBOMBA 8"" X 6"" 3000 GPM-GALONES POR M",201.28277090000003
BOM004,"BOMBA DE ACHIQUE 3"" X 3"" DIESEL 10 HP",55.06
BOM005,BOMBA MANUAL PRUEBA HIDROSTATICA C/ACC H,33.06
BOM006,BOMBA MANUAL PRUEBA HIDROSTATICA -DIMETR,22.01
BOM007,BOMBA P/CONCRETO-HORMIGON HASTA 35 MTS,385.41
BOM008,"WELL POINT: BOMBAS, COLECTOR, MANGUERAS,",209.2
BOM009,"SISTEMA BOMBEO TIPO: 200 LTS/SEG- 8"" CON",132.12
BOM010,ACCESORIOS PARA EQUIPO DE BOMBEO,7.69
BOM011,"BOMBA DE ACHIQUE 4"" X 4"" DIESEL 12 HP",165.19
BOM012,"BOMBA DE ACHIQUE 6"" X 6"" MOTOR DIESEL",198.22
BOM013,BOMBA DE ACHIQUE PEQUEÑA,44.03
BOM014,"BOMBA, TUBO COLECTOR, MANGUERAS, PUNTAS ",187.19
BOM015,BOMBA HORIZONTAL PARA VACIADO DE CONCRET,220.22
BOM016,"MANGUERAS Y ACCESORIOS PARA MOTOBOMBA 4""",1.96546
BOM017,BOMBA HIDROSTATICA PRESION CAP=2000 LIBR,110.11
BOM018,BOMBA MANUAL PARA PRUEBAS HIDRAULICAS ME,11.0116
BOM019,"ACCESORIOS PARA ACHIQUE: MARACA, MANGUER",0.8356
BOM020,"BOMBA SUMERGIBLE DE 2""",27.53
BOM021,BOMBA NEUMATICA P/PRUEBA HIDROSTATICA 10,2.973015
BOM022,PLANTA TRATAMIENTO AGUAS NEGRAS 12000 LT,34.68483
BOM023,"MANGUERAS, CONEXIONES Y ACCESORIOS",0.02732
BOM024,"BOMBA ACHIQUE 4"" X 4"" DIESEL 10 HP",10.59265
BOM025,"BOMBA ACHIQUE 4"" 10 HP AGUAS NEGRAS 220V",8.25835
BOM026,"BOMBA DE VACIO 7,5 - 8 CFM 1/2 HP",2.58755
BOM027,BOMBA CENTRIFUGA 1250 GPM,132.12
BOM028,BOMBA DE ACHIQUE 5 A 10 HP,77.06
BOM029,BOMBA SOBRE CAMION 2000 GPM PARA DECOQUI,275.29
BOM030,BOMBA DE ACHIQUE 12 HP,110.11
BOM031,EQUIPO PARA PRUEBA HIDROSTATICA,126.63
BOM032,"MOTOBOMBA 8"" X 6"" 3000 GPM",2202.2
BOM033,"MANGUERAS D= 2"" BRIDADA DE ALTA PRESION",440.44
BOM034,"MANGUERA 4"" QC (CONEXION RAPIDA)",572.58
BOM035,"MANGUERAS D= 4"" BRIDADA DE ALTA PRESION",688.2
BOM036,EDUCTOR,82.58
BOM037,BOMBA DE PISTON DE 400 PSI,385.41
BOM038,"MANGUERA D=1/2"" P/AIRE A ALTA PRESION",275.29
BOM039,FILTRO DUPLEX,132.12
BOM040,BOMBA SUMERGIBLE DE 1 HP,5.0656
BOM041,BOMBA SUMERGIBLE CENTRIFUGA 3 HP 220V,8.8088
CAR001,EQUIPO DE CARPINTERIA PARA INSTALACION E,13.21
CAR002,"PRENSA DE BANCO 4"" LOBSTER O SIMILAR",1.04832
CAR003,EQUIPOS PARA CARPINTERIA,3.28
CAR004,EQUIPOS VARIOS DE CARPINTERIA,0.6652800000000001
CAR005,ESTRUCTURA DE SUJECION PROVISIONAL,2.18
