CodMat,Descri,UniMat,CosMat
MAT2677,TUB. PVC EJAxC D/P EST.4KN/m2 ALC.Novafort D=500mm L=6m,m,367.15615384615387
MAT2667,TUB. PVC EJAxC D/P EST.4KN/m2 ALC.Novafort D=160mm L=3m,m,35.70215384615384
MAT2669,TUB. PVC EJAxC D/P EST.4KN/m2 ALC.Novafort D=200mm L=3m,m,58.46969230769231
MAT2671,TUB. PVC EJAxC D/P EST.4KN/m2 ALC.Novafort D=250mm L=3m,m,76.99861538461538
MAT2673,TUB. PVC EJAxC D/P EST.4KN/m2 ALC.Novafort D=315mm L=3m,m,131.1893846153846
MAT2675,TUB. PVC EJAxC D/P EST.4KN/m2 ALC.Novafort D=400mm L=3m,m,230.86353846153844
MAT2961,"TUBO P.E.A.D. D= 20 mm (1/2"") N4 (90 psi) ROLLO 100 m",m,5.856615384615385
MAT3088,UNION RAPIDA P.E.A.D. D= 20 mm,pieza,5.199230769230769
MAT2656,TRANSPORTE DE MATERIALES ( 1%),%,0.00015384615384615385
MAT2968,"TUBO P.E.A.D. D= 90 mm (3"") N4 (90 psi) ROLLO 100 m",m,52.221538461538465
MAT3094,UNION RAPIDA P.E.A.D. D= 90 mm,pieza,114.81184615384616
MAT2958,"TUBO P.E.A.D. D= 110 mm (4"") N4 (90 psi) ROLLO 100 m",m,78.28338461538462
MAT3086,UNION RAPIDA P.E.A.D. D= 110 mm,pieza,193.1863076923077
MAT2971,"TUBO P.E.A.D. D=125mm(5"") N6 (90psi) 2.763 Kgf/m 12m",m,19.411076923076923
MAT1764,MANCHON RAPIDO DE UNION P.E.A.D. 125 mm,pieza,72.51476923076923
MAT2973,"TUBO P.E.A.D. D=160mm (6 1/4"")N6(90psi) 4.527Kgf/m 12 m",m,32.95969230769231
MAT0930,COLLAR P.E.A.D. PARA SOLDAR A TOPE 160 mm,pieza,45.341538461538455
MAT2974,"TUBO P.E.A.D. D=200mm (8"") N6 (90 psi) 7.074Kgf/m 12m",m,49.818
MAT0931,COLLAR P.E.A.D. PARA SOLDAR A TOPE 200 mm,pieza,93.23246153846154
MAT2976,"TUBO P.E.A.D. D=250mm(10"") N6 (90psi)10.965Kgf/m 12m",m,76.98123076923076
MAT0932,COLLAR P.E.A.D. PARA SOLDAR A TOPE 250 mm,pieza,124.11723076923077
MAT2979,"TUBO P.E.A.D. D=315mm(12 1/4"")N6(90psi) 17.464Kgf/m 12m",m,128.08015384615382
MAT2980,"TUBO P.E.A.D. D=355mm (14"") N6 (90psi) 22.194Kgf/m 12m",m,158.05107692307692
MAT2982,"TUBO P.E.A.D. D=400mm(16 1/4"") N6(90psi)28.082Kgf/m 12m",m,205.43323076923076
MAT2960,"TUBO P.E.A.D. D= 16 mm (3/8"") N5 (150 psi) ROLLO 100 m",m,4.3312307692307686
MAT3087,UNION RAPIDA P.E.A.D. D= 16 mm,pieza,4.017538461538462
MAT2962,"TUBO P.E.A.D. D= 20 mm (1/2"") N5 (150 psi) ROLLO 100 m",m,5.518307692307692
MAT2963,"TUBO P.E.A.D. D= 25 mm (3/4"") N5 (150 psi) ROLLO 100 m",m,6.965692307692308
MAT3089,UNION RAPIDA P.E.A.D. D= 25 mm,pieza,6.15
MAT2964,"TUBO P.E.A.D. D= 32 mm (1"") N5 (150 psi) ROLLO 100 m",m,10.401384615384616
MAT3090,UNION RAPIDA P.E.A.D. D= 32 mm,pieza,7.812461538461538
MAT3091,UNION RAPIDA P.E.A.D. D= 40 mm,pieza,14.821384615384614
MAT2965,"TUBO P.E.A.D. D= 40 mm (11/4"") N5 (150 psi) ROLLO 100m",m,10.84676923076923
MAT3095,UNION RAPIDA P.E.A.D. D=50 mm,pieza,24.146461538461537
MAT2966,"TUBO P.E.A.D. D= 50 mm (11/2"") N5 (150 psi) ROLLO 100m",m,16.025846153846153
MAT2967,"TUBO P.E.A.D. D= 63 mm (2"") N5 (150 psi) ROLLO 100 m",m,26.083538461538463
MAT3092,UNION RAPIDA P.E.A.D. D= 63 mm,pieza,40.79169230769231
MAT2984,"TUBO P.E.A.D. D=75mm (3"") N10(150psi) 1.470Kgf/m R=100m",m,10.741384615384616
MAT3093,UNION RAPIDA P.E.A.D. D= 75 mm,pieza,62.72553846153846
MAT2969,"TUBO P.E.A.D. D= 90 mm (3"") N5 (150 psi) ROLLO 100 m",m,54.197538461538464
MAT2959,"TUBO P.E.A.D. D= 110 mm (4"") N5 (150 psi) ROLLO 100 m",m,78.94246153846154
MAT2970,"TUBO P.E.A.D. D=125mm(5"") N10(150psi) 4.089 Kgf/m R=50m",m,30.64169230769231
MAT2972,"TUBO P.E.A.D. D=160mm (6 1/4"")N10(150psi)6.585Kgf/m 12m",m,47.567076923076925
