CodMat,Descri,UniMat,CosMat
MAT1870,PALMA ARECA TAMAÃƒâ€˜O MEDIANA,und,27.558923076923076
MAT1089,CROTO HIBRIDO,und,13.455538461538461
MAT1542,JAZMIN FALCON,und,8.029230769230768
MAT0717,CAYENA DE CERCA,und,7.672307692307692
MAT1852,NARANJILLO,und,10.98076923076923
MAT2290,ROSA DE VERBERIA NORMAL,und,7.558153846153846
MAT1282,EDF-9031 MANTENIMIENTO DE GRAMA POR 6 MESES,m2,3.065692307692308
MAT1450,"GRAMA TIPO SAN AGUSTIN 0,70 m2/saco",saco,52.296
MAT1448,"GRAMA PELO INDIO 0,70 m2/saco",saco,49.69815384615385
MAT1654,"LENGUA DE VACA 0,70 m2/saco",und,8.292307692307693
MAT1449,"GRAMA TIPO JAPONESA 0,70 m2/saco",saco,48.78046153846154
MAT1369,FAGINA ( FLEJES ) L = 2.00 m PARA TALUDES,und,7.852615384615385
MAT1738,MADERA EN VIGUETAS P/ARRIOSTRAR LARGO= 3.00 m,pieza,113.98015384615384
MAT2371,SUBE Y BAJA MEDIANO 2 UNIDADES (4 ASIENTOS),pieza,1687.9558461538463
MAT2597,TOBOGAN RECTO L= 3.00 m TG-7,pieza,6332.759384615384
MAT0934,COLUMPIO DE 3 ASIENTO 1 CUERPO,pieza,4163.831538461538
MAT2294,RUEDA GIRATORIA DIAM. 1.90 m,pieza,3510.208153846154
MAT0434,BANCO C/ESPALDAR EST.METALICA ASIENTO MADERA L=2 m,pieza,2960.636
MAT0435,BANCO DE CONCRETO SIN ESPALDAR D=2.00x0.50x0.45m,pieza,1087.3815384615384
MAT1789,MARCO Y TAPA H.F ASTM-A-595 B.V. 60cm TIPO PESADO INOS,juego,599.4269230769231
MAT1851,"MORTERO PEGA CEMTO-ARENA 1:2 /TUB.CONCRET,TAP.TANQUILLA",m3,502.75169230769234
MAT1790,MARCO Y TAPA H.F ASTM-A-595 B.V. 60cm TIPO LIVIANO INOS,juego,544.8483076923077
MAT0334,"ANGULO ESTRUCTURAL 25 mm X 3 mm L= 6 m (1,12 Kgf/m)",Kgf,145.13507692307692
MAT2029,"PLETINA DE ACERO 3/4"" x 3/16"" L= 6 m (0,412 Kgf/m)",Kgf,19.841846153846156
MAT1627,"LAMINA ESTRIADA DE ACERO 1.00x2.40m e=3mm 61,38 Kgf/m2",Kgf,5.497230769230769


