CodMat,Descri,CosMat
ACA188,"TORNILLO P/TABIQUE DRY WALL 6 X 1 1/4"" -",5.54
ACA189,"TORNILLO P/TABIQUE DRY WALL 6 X 1 1/2"" -",6.62
ACA190,TORNILLO P/TABIQUE DRY WALL - CAJA 100,5.54
ACA191,"TORNILLO BROCA 1 1/4"" P/FIBROCEMENTO-PLY",0.21
ACA192,TORNILLO BROCA P/FIBROCEM-PLYCEM 12 X 1 ,0.16
ACA193,MATERIALES PARA INSTALACION,2.18
ACA194,SEPARADOR DOBLE P/BLOQUE/LADRILLO VIDRIO,0.85
ACA195,"ESQUINERO PLASTICO RIGIDO 8' /2,44 MT",3.41
ACA196,"ESQUINERO PLASTICO RIGIDO 10' / 3,05 MT",3.87
ACA197,BOCA DE VISITA P/ DRY WALL 10 X 15 CM- B,8.81
ACA198,BOCA DE VISITA P/ DRY WALL 20 X 20 CM- B,13.22
ACA199,BOCA DE VISITA P/ DRY WALL 56 X 56 CM- B,49.09
ACA200,FULMINANTE P/PISTOLA DE FIJACION CAL 22,0.65
ACA201,LAMINA FIBROCEMENTO TIPO PLYCEM O SIM,2.39
ACA202,REVESTIMIENTO PARED/PISO CON CERAMICA DE,48.24
ACA203,REVESTIMIENTO PARED MORTERO BASE CAL ACA,15.4
ACA204,MASTIQUE NACIONAL (PASTA PROFESIONAL) 4 ,46.29
ACA205,PUERTA DE ALUMINIO,93.67
ACA206,LAMINA GALVANIZADA C/POLIRETANO EXPANDID,18.73
ACA207,"LAMINA GALV C/POLIRETANO EXPANDIDO E=1"" ",11.02
ACA208,TORNILLO P/TABIQUES DRY WALL CON EST. MA,0.11
ACA209,KIT P/ACABADO PARED DE MICROCEMENTO /6 M,132.23
ACA210,KIT PARA PISO DE MICROCEMENTO PARA 6 M2,143.23
ACA211,KIT PARA PISO DE MICROCEMENTO,23.89
ACA213,PERFIL OMEGA X3.05 M DRY WALL/PLYCEM CAL,8.81
ACA214,"PERFIL DE ACERO TIPO ""C"" P/PLYCEM CAL 24",8.81
ACA215,PERFIL OMEGA X3.05 M DRY WALL/PLYCEM CAL,12.13
ACA216,"PERFIL DE ACERO TIPO ""C"" P/PLYCEM CAL 20",4.41
ACA217,"LAMINA PVC P/PISO  3 MM 1,22X2,44M",44.07
ACA218,"LAMINA P/PISO  PVC 3 MM 1,22X2,44M COLOR",77.13
ACA220,LAMINA DE YESO P/CIELO RASO DE 4'  X  2',9.2
ACE000,"PELDAÑO ACERO GRILL GALV 1,2 X 0,265 M X",92.57
ACE001,"ALAMBRE DE PUAS GALVANIZADO C-16,5 P= 0.",0.25
ACE002,ALAMBRE* LISO GALVANIZADO CAL 18 PMVP,4.97
ACE003,ALAMBRE LISO GALVANIZADO CAL. 12,5.54
ACE004,MALLA ACERO SEN SEN RIPLEX P/FALSO FRISO,15.4
ACE005,ALAMBRE REDONDO GALVANIZADO P/ATAR Nº 6,0.74
